,word,pos,lemma
1013,with,IN,with
1014,water,NN,water
1015,20ft,JJ,20ft
1016,waterfall,NN,waterfall
1017,in,IN,in
1018,a,DT,a
1019,cave,NN,cave
1020,Recorded,VVN,record
1021,from,IN,from
1022,bottom,NN,bottom
1023,of,IN,of
1024,fall,NN,fall
1025,20ft,JJ,20ft
1026,waterfall,NN,waterfall
1027,in,IN,in
1028,a,DT,a
1029,cave,NN,cave
1030,Recorded,VVN,record
1031,from,IN,from
1032,top,NN,top
1033,22,CD,@card@
1034,week,NN,week
1035,old,JJ,old
1036,baby,NN,baby
1037,girl,NN,girl
1038,Cooing,VVG,coo
1039,laughing,JJ,laughing
1040,and,CC,and
1041,sucking,JJ,sucking
1042,thumb,NN,thumb
1043,22,CD,@card@
1044,week,NN,week
1045,old,JJ,old
1046,baby,NN,baby
1047,girl,NN,girl
1048,Crying,VVG,cry
1049,in,IN,in
1050,temper,NN,temper
1051,22,CD,@card@
1052,week,NN,week
1053,old,JJ,old
1054,baby,NN,baby
1055,girl,NN,girl
1056,Tantrums,NNS,tantrum
1057,when,WRB,when
1058,toys,NNS,toy
1059,are,VBP,be
1060,taken,VVN,take
1061,22,CD,@card@
1062,week,NN,week
1063,old,JJ,old
1064,baby,NN,baby
1065,girl,NN,girl
1066,Trying,VVG,try
1067,to,TO,to
1068,talk,VV,talk
1069,and,CC,and
1070,playing,VVG,play
1071,with,IN,with
1072,toys,NNS,toy
1073,22,CD,@card@
1074,week,NN,week
1075,old,JJ,old
1076,baby,NN,baby
1077,girl,NN,girl
1078,Trying,VVG,try
1079,to,TO,to
1080,talk,VV,talk
1081,24,CD,@card@
1082,men,NNS,man
1083,and,CC,and
1084,women,NNS,woman
1085,cheering,VVG,cheer
1086,Farcical,JJ,farcical
1087,25-pounder,JJ,25-pounder
1088,Guns,NNS,gun
1089,fired,VVD,fire
1090,25-ton,NP,25-ton
1091,Mobile,NP,Mobile
1092,Crane,NP,Crane
1093,operating,VVG,operate
1094,26,CD,@card@
1095,week,NN,week
1096,old,JJ,old
1097,baby,NN,baby
1098,girl,NN,girl
1099,distressed,VVD,distress
1100,crying,VVG,cry
1101,26,CD,@card@
1102,week,NN,week
1103,old,JJ,old
1104,baby,NN,baby
1105,girl,NN,girl
1106,gurgling,VVG,gurgle
1107,laughing,JJ,laughing
1108,and,CC,and
1109,hiccoughing,VVG,hiccough
1110,28,CD,@card@
1111,week,NN,week
1112,old,JJ,old
1113,baby,NN,baby
1114,girl,NN,girl
1115,gurgling,VVG,gurgle
1116,and,CC,and
1117,blowing,VVG,blow
1118,bubbles,NNS,bubble
1119,29,CD,@card@
1120,week,NN,week
1121,old,JJ,old
1122,baby,NN,baby
1123,girl,NN,girl
1124,teething,VVG,teethe
1125,2d,JJ,2d
1126,Chocolate,NN,chocolate
1127,Machine,NN,machine
1128,2d,JJ,2d
1129,in,IN,in
1130,slot,NN,slot
1131,Football,NP,Football
1132,Game,NP,Game
1133,2d,JJ,2d
1134,in,IN,in
1135,slot,NN,slot
1136,Race,NP,Race
1137,Game,NP,Game
1138,3,CD,@card@
1139,cymbal,NN,cymbal
1140,taps,NNS,tap
1141,3,CD,@card@
1142,month,NN,month
1143,old,JJ,old
1144,baby,NN,baby
1145,girl,NN,girl
1146,irritable,JJ,irritable
1147,3,CD,@card@
1148,small,JJ,small
1149,splashes,NNS,splash
1150,3-month,JJ,3-month
1151,old,JJ,old
1152,piglets,NNS,piglet
1153,30,CD,@card@
1154,cwt,JJ,cwt
1155,Massey,NP,Massey
1156,drop,NN,drop
1157,hammer,NN,hammer
1158,&,CC,&
1159,5,CD,@card@
1160,cwt,NN,cwt
1161,power,NN,power
1162,hammer,NN,hammer
1163,30,CD,@card@
1164,week,NN,week
1165,old,JJ,old
1166,baby,NN,baby
1167,girl,NN,girl
1168,sitting,VVG,sit
1169,playing,NN,playing
1170,quietly,RB,quietly
1171,blowing,VVG,blow
1172,bubbles,NNS,bubble
